"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: alphalength","Param: expression","Param: numberOfDecisionTableRules","Param: numberOfDecisions","Param: numberOfDecisionsWithBKM","Param: numberOfDecisionsWithContext","Param: numberOfElements","Param: param","Param: resourceName","Param: sparseness","Param: useAlphaNetworkCompiled","Param: useExecModelCompiler"
"org.drools.benchmarks.dmn.buildtime.DMNBuildBusinessKnowledgeModelBenchmark.testBuildKieBase","avgt",1,75,268.810273,3.239131,"ms/op",,,,,3000,,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildComplexDMNModelBenchmark.testBuildKieBase","avgt",1,75,15.585868,0.203557,"ms/op",,,,,,,,,dmn/ch11MODIFIED.dmn,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildContextBenchmark.testBuildKieBase","avgt",1,75,200.685791,2.803434,"ms/op",,,,,,3000,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildDecisionBenchmark.testBuildKieBase","avgt",1,75,206.910562,2.490558,"ms/op",,,,3000,,,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildDecisionTableBenchmark.testBuildKieBase","avgt",1,75,166.042165,1.973142,"ms/op",,,3000,,,,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildKJarBenchmark.createDMNRuntime","avgt",1,75,317.374687,4.696443,"ms/op",,,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.EvaluationContextImplBenchmark.evaluationContextCurrent","avgt",1,100,11.088054,0.089114,"ns/op",,,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.078938,0.000886,"us/op",,"if 2 > 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.074727,0.001392,"us/op",,"if 2 < 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.610963,0.005327,"us/op",,"for x in [ 10, 20, 30 ], y in [ 1, 2, 3 ] return ""foobar""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.068947,0.002341,"us/op",,"if 2 > 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.068979,0.001404,"us/op",,"if 2 < 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.435266,0.006165,"us/op",,"for x in [ 10, 20, 30 ], y in [ 1, 2, 3 ] return ""foobar""",,,,,,,,,,
