"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: alphalength","Param: expression","Param: numberOfDecisionTableRules","Param: numberOfDecisions","Param: numberOfDecisionsWithBKM","Param: numberOfDecisionsWithContext","Param: numberOfElements","Param: param","Param: resourceName","Param: sparseness","Param: useAlphaNetworkCompiled","Param: useExecModelCompiler"
"org.drools.benchmarks.dmn.buildtime.DMNBuildBusinessKnowledgeModelBenchmark.testBuildKieBase","avgt",1,75,264.752134,2.651619,"ms/op",,,,,3000,,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildComplexDMNModelBenchmark.testBuildKieBase","avgt",1,75,15.653175,0.082501,"ms/op",,,,,,,,,dmn/ch11MODIFIED.dmn,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildContextBenchmark.testBuildKieBase","avgt",1,75,199.301786,2.158099,"ms/op",,,,,,3000,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildDecisionBenchmark.testBuildKieBase","avgt",1,75,210.995812,3.592357,"ms/op",,,,3000,,,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildDecisionTableBenchmark.testBuildKieBase","avgt",1,75,165.799596,1.087381,"ms/op",,,3000,,,,,,,,,
"org.drools.benchmarks.dmn.buildtime.DMNBuildKJarBenchmark.createDMNRuntime","avgt",1,75,310.920080,2.331458,"ms/op",,,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.EvaluationContextImplBenchmark.evaluationContextCurrent","avgt",1,100,11.319615,0.099825,"ns/op",,,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.097222,0.003105,"us/op",,"if 2 > 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.088165,0.001558,"us/op",,"if 2 < 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.704410,0.014364,"us/op",,"for x in [ 10, 20, 30 ], y in [ 1, 2, 3 ] return ""foobar""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.068848,0.002015,"us/op",,"if 2 > 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.066116,0.000602,"us/op",,"if 2 < 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.456603,0.009522,"us/op",,"for x in [ 10, 20, 30 ], y in [ 1, 2, 3 ] return ""foobar""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateExpressionBenchmark","avgt",1,100,12.983815,0.152770,"us/op",,"if 2 > 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateExpressionBenchmark","avgt",1,100,12.891539,0.161044,"us/op",,"if 2 < 1 then ""yey"" else ""nay""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELConditionAndLoopBenchmark.evaluateExpressionBenchmark","avgt",1,100,22.976389,0.195320,"us/op",,"for x in [ 10, 20, 30 ], y in [ 1, 2, 3 ] return ""foobar""",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELContextBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.456061,0.003359,"us/op",,"{ first name : ""Bob"", birthday : date(""1978-09-12""), salutation : ""Hello ""+first name }",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELContextBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.738346,0.007350,"us/op",,"{ full name : { first name: ""Bob"", last name : ""Doe"" }, birthday : date(""1978-09-12""), salutation : ""Hello ""+full name.first name }",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELContextBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.243677,0.008875,"us/op",,"{ first name : ""Bob"", birthday : date(""1978-09-12""), salutation : ""Hello ""+first name }",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELContextBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.390155,0.003715,"us/op",,"{ full name : { first name: ""Bob"", last name : ""Doe"" }, birthday : date(""1978-09-12""), salutation : ""Hello ""+full name.first name }",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELContextBenchmark.evaluateExpressionBenchmark","avgt",1,100,63.851736,0.490151,"us/op",,"{ first name : ""Bob"", birthday : date(""1978-09-12""), salutation : ""Hello ""+first name }",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELContextBenchmark.evaluateExpressionBenchmark","avgt",1,100,119.194758,0.759541,"us/op",,"{ full name : { first name: ""Bob"", last name : ""Doe"" }, birthday : date(""1978-09-12""), salutation : ""Hello ""+full name.first name }",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.065102,0.002746,"us/op",,[1..2],,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.064834,0.002855,"us/op",,[1..2),,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.061275,0.002785,"us/op",,(1..2],,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.058584,0.001036,"us/op",,(1..2),,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.082598,0.003320,"us/op",,"[""a""..""z""]",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.079882,0.001793,"us/op",,"[date(""1978-09-12"")..date(""1978-10-13"")]",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.059962,0.001400,"us/op",,[1..2],,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.055842,0.002353,"us/op",,[1..2),,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.056772,0.001818,"us/op",,(1..2],,,,,,,,,,
